Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-08-25,18.8001,19.0677,18.8001,18.8001,835.88648337321
2020-08-26,18.9788,18.9788,18.6194,18.889,1418.6008403681
2020-08-27,18.8001,19.0677,18.8001,19.0677,322.21906993611
2020-08-28,19.4262,19.6948,18.889,19.6948,3180.3440669018
2020-08-31,19.6948,19.6948,19.4262,19.6948,465.54378610899
2020-09-01,19.6039,19.6948,18.9788,19.6948,4587.4370833436
2020-09-02,19.7846,20.1421,19.6948,20.0523,4066.4465092261
2020-09-03,20.0523,20.0523,19.8735,19.8735,1419.6470061795
2020-09-04,19.8735,19.8735,19.2474,19.6948,1432.2009959173
2020-09-07,19.2474,19.4262,19.2474,19.3363,808.68617227471
2020-09-08,19.3363,19.3363,18.7093,18.7093,4829.1013857957
2020-09-09,18.6194,19.1566,18.6194,19.0677,2088.1469597158
2020-09-10,19.0677,19.2474,19.0677,19.2474,35322.74245884
2020-09-11,18.9788,19.516,18.889,19.516,5974.6529493672
2020-09-14,18.9788,19.1566,18.9788,18.9788,3717.0271281915
2020-09-15,18.9788,18.9788,18.7093,18.7093,7365.0073128253
2020-09-16,18.8001,19.1566,18.8001,19.1566,1468.8167993191
2020-09-17,19.1566,19.1566,18.7093,18.9788,35618.807383489
2020-09-18,18.8001,18.9788,18.6194,18.8001,3732.7196153637
2020-09-21,18.9788,19.1566,18.5315,18.6194,3144.7744293115
2020-09-22,18.4416,18.9788,18.4416,18.9788,2215.7791887165
2020-09-23,18.6194,18.8001,18.4416,18.7093,1162.2902165552
2020-09-24,18.5315,18.7093,18.3518,18.4416,2338.1805886597
2020-09-25,18.4416,18.8001,17.9044,18.4416,3548.5944325431
2020-09-28,18.5315,18.7093,18.5315,18.7093,2314.1187749957
2020-09-29,18.5315,18.5315,18.2619,18.4416,7289.6833743987
2020-09-30,18.8001,18.8001,18.4416,18.4416,2803.7243747687
2020-10-01,18.7093,18.7093,18.4416,18.5315,1773.2510504601
2020-10-02,18.3518,18.5315,18.172,18.4416,2009.6845238547
2020-10-05,18.2619,18.4416,18.2619,18.3518,3002.4958789501
2020-10-06,18.3518,18.5315,17.9044,17.9044,9808.8506484446
2020-10-07,17.9044,18.5315,17.9044,18.4416,7621.3179366381
2020-10-08,18.4416,18.4416,18.0831,18.2619,881.91777907837
2020-10-09,18.2619,18.2619,17.6349,17.7247,12082.168956793
2020-10-12,17.9942,17.9942,17.2324,17.4571,9882.0822552483
2020-10-13,17.7247,17.7247,17.0097,17.5469,11479.57744938
